Symbol,Name,5 Year ∆
XLK,Information Technology,1.992094196804037
XLC,Communication Services,0.7165698329887045
XLY,Consumer Discretionary,0.6967982665917366
XLI,Industrials,0.6446203117900375
XLB,Materials,0.5916469305920672
XLV,Health Care,0.4915038214437749
XLE,Energy,0.4788142949448176
XLF,Financials,0.4756507966503691
XLP,Consumer Staples,0.3674675878432101
XLU,Utilities,0.17346939952395576
XLRE,Real Estate,0.1693548387096774
