Symbol,Name,52 Week ∆
XLC,Communication Services,0.4146981914344987
XLK,Information Technology,0.38390497478816865
XLY,Consumer Discretionary,0.18547409658589073
XLI,Industrials,0.06204744587150332
XLB,Materials,0.0035004223874807346
XLF,Financials,-0.010178134611902265
XLV,Health Care,-0.04696445701301028
XLRE,Real Estate,-0.05466486354962952
XLP,Consumer Staples,-0.06949655088641653
XLE,Energy,-0.07573933231513705
XLU,Utilities,-0.09527955997064373
